n,seconds
1,0.0000235
2,0.000002
3,0.0000016
4,0.0000021
5,0.0000033
6,0.000003
7,0.0000036
8,0.0000038
9,0.0000048
10,0.0000049
11,0.000005
12,0.0000055
13,0.0000063
14,0.0000086
15,0.0000076
16,0.0000083
17,0.0000084
18,0.0000092
19,0.0000098
20,0.0000099
21,0.0000094
22,0.0000097
23,0.0000291
24,0.000011
25,0.0000118
26,0.0000298
27,0.0000121
28,0.0000128
29,0.0000129
30,0.0000132
31,0.0000139
32,0.0000137
33,0.0000145
34,0.0000149
35,0.0000152
36,0.0000167
37,0.0000406
38,0.0000161
39,0.0000171
40,0.0000194
41,0.0000181
42,0.0000201
43,0.000022
44,0.000106
45,0.0001094
46,0.000114
47,0.0001456
48,0.0001378
49,0.0005906
50,0.0002611
51,0.0002414
52,0.0001694
53,0.0009813
54,0.0002186
55,0.0001657
56,0.0001781
57,0.0005795
58,0.0001868
59,0.0003611
60,0.0002046
61,0.0001908
62,0.0002028
63,0.0002038
64,0.0001987
65,0.0002221
66,0.0002039
67,0.0002074
68,0.0002063
69,0.0002074
70,0.0002248
71,0.0002187
72,0.0002127
73,0.0002305
74,0.0002403
75,0.0002265
76,0.0002296
77,0.0002336
78,0.0002438
79,0.0002377
80,0.0002481
81,0.0002544
82,0.0002748
83,0.000255
84,0.0002613
85,0.000265
86,0.0002535
87,0.0002847
88,0.000269
89,0.0002683
90,0.0008221
91,0.0002869
92,0.0002975
93,0.000303
94,0.0012522
95,0.0004727
96,0.0003129
97,0.0003032
98,0.0003585
99,0.0002977
100,0.0002307
101,0.0005249
102,0.0004466
103,0.0004689
104,0.0004049
105,0.0003865
106,0.0003765
107,0.0004038
108,0.0005366
109,0.0004735
110,0.0004935
111,0.0004369
112,0.0004614
113,0.0003182
114,0.0002635
115,0.000324
116,0.0006752
117,0.0004663
118,0.0005648
119,0.0002951
120,0.0006174
121,0.000376
122,0.0004108
123,0.0004035
124,0.0004215
125,0.0004022
126,0.0004433
127,0.0004156
128,0.0004368
129,0.0003877
130,0.000289
131,0.0003063
132,0.0002946
133,0.0002736
134,0.0003074
135,0.0003187
136,0.0003223
137,0.0003092
138,0.0002223
139,0.0002328
140,0.0002261
141,0.0003234
142,0.0003217
143,0.0003387
144,0.0003454
145,0.0003297
146,0.0003522
147,0.0003305
148,0.0003278
149,0.0003323
150,0.0003982
151,0.0002391
152,0.0002504
153,0.0002554
154,0.0002568
